"variable","mean","sd","lower","upper","cv"
"BVBHth_p",0.0278759143059536,0.00811582324843129,0.0175372151529142,0.0456458360852658,0.291141060320234
"HRI_lag",0.662331447581205,0.0707497008257976,0.56094252313054,0.761960480513011,0.106819178047745
"In22_ED",0.128562827356359,0.00971792849837473,0.108049553716812,0.145225315134647,0.0755889450955986
"NoAuto_p",0.046182902185671,0.00674247447085541,0.032692080762597,0.057483853151068,0.145995036079551
"POPD",0.0515353616329413,0.00926069210494612,0.0335641191395816,0.0665555702897072,0.179695878936585
"log_dist",0.239564524909943,0.0213977820630468,0.206328111799501,0.285661876509315,0.0893194936566283
