"Model","RMSE","R2","Morans_I","Morans_pval"
"OLS",0.812817436694482,0.339053221012147,0.263932407602528,0
"SAR",0.669836971803493,0.553033884287145,0.0270795034014536,4.27296863164401e-06
"SEM",0.665558544501831,0.567156871570766,0.0127233865842568,0.0167149442748198
"SAC",0.66850952542443,0.555582132888121,0.00243696564733133,0.32215654706623
"Random Forest Spatial CV",0.867676214151827,0.287618715890731,0.091279803708255,4.27939326860561e-50
