id,full_id,osm_id,osm_type,leisure,image,boules,ruins,heating,playground,location,material,capacity,fitness_st,golf_cours,was_religi,was_denomi,disused_am,artwork_ty,artist_nam,private,smoking,payment_no,payment_de,payment_cr,payment_co,service,highway,contact_yo,contact_in,abandoned_,hoops,operator_g,source_old,old_name_1,ref,payment_vi,payment__1,payment_ma,payment_ch,payment_ca,disused,shade,roof_shape,roof_orien,roof_mater,roof_colou,golf,dance_teac,operator_w,operator_1,opening_ho,toilets_wh,source_nam,alt_name_g,swimming_p,length,logainm_ur,logainm_re,addr_posta,covered,source_own,source_acc,owner,descriptio,memorial,historic,old_name,internet_a,internet_1,internet_2,addr_unit,addr_full,addr_count,fence_type,brand_wiki,brand_wi_1,brand,branch,contact_tw,contact_fa,gaelic_gam,notes,indoor,old_use,name_etymo,name_ety_1,motor_vehi,foot,bicycle,gaelic_g_1,wheelchair,club,building_l,loc_name,etymology_,natural,landcover,layer,short_name,name_it,operator_t,garden_typ,year_built,contact_tr,contact_fo,architect,wikimedia_,uav,official_n,dog,contact_we,landuse,name_ko,name_fa,barrier,ref_natura,protect_cl,boundary,lit,access,alt_name,lanes,opening__1,name_en,wikipedia,wikidata,tourism,operator,name_zh,fee,surface,sport,embankment,cycling,email,addr_house,start_date,name_ga,website,phone,fax,building,amenity,addr_stree,addr_postc,addr_hou_1,addr_city,type,name,golf_cou_1,golf_cou_2,wetland,tidal,salt,path,distance,angle,xcoord,ycoord
11,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1000.000000000000000,283.953479674308028,-6.154738548,53.29513929
12,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1100.000000000000000,290.667027365603701,-6.156148662,53.29553889
13,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1200.000000000000000,300.081749694204973,-6.157387825,53.2959234
14,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1300.000000000000000,298.934792840947409,-6.158748883,53.29642722
15,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1400.000000000000000,302.230169506032780,-6.159566087,53.29690721
16,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1500.000000000000000,7.784888144032604,-6.160072792,53.29768586
17,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1600.000000000000000,327.536784147784090,-6.16013693,53.29819953
18,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1700.000000000000000,288.223154619200841,-6.160181095,53.2983523
19,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1800.000000000000000,296.682938205218477,-6.162777027,53.29817305
20,r7544494,7544494,relation,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE0004006,97,protected_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,North Bull Island Special Protection Area,,,,,,/Users/kevincredit/Library/CloudStorage/OneDrive-MaynoothUniversity/D8Dash paper/BSpace.shp|layername=BSpace,1900.000000000000000,273.221943968634605,-6.163876451,53.29833695
